rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,cpuct,mu-discount,search-iterations,seed,sequence-length,episodes,steps,ucb-c
13,baseline_mab_prefix,2,trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.9,30,"steps=10,iters=20,ucb_c=0.2,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.2/compare/details.csv,,,,1,,20,10,0.2
14,baseline_mab_prefix,16,trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,282.9,30,"steps=10,iters=20,ucb_c=0.4,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/compare/details.csv,,,,5,,20,10,0.4
15,baseline_mab_prefix,18,trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,282.9,30,"steps=10,iters=20,ucb_c=0.4,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/compare/details.csv,,,,7,,20,10,0.4
16,baseline_mab_prefix,23,trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.9,30,"steps=10,iters=20,ucb_c=0.8,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.8/compare/details.csv,,,,2,,20,10,0.8
17,baseline_mab_prefix,28,trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.7,30,"steps=10,iters=20,ucb_c=0.8,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.8/compare/details.csv,,,,7,,20,10,0.8
18,baseline_mab_prefix,9,trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.5,30,"steps=10,iters=20,ucb_c=0.2,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.2/compare/details.csv,,,,8,,20,10,0.2
19,baseline_mab_prefix,26,trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.5,30,"steps=10,iters=20,ucb_c=0.8,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.8/compare/details.csv,,,,5,,20,10,0.8
20,baseline_mab_prefix,12,trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,282.4,30,"steps=10,iters=20,ucb_c=0.4,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/details.csv,,,,1,,20,10,0.4
21,baseline_mab_prefix,27,trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.4,30,"steps=10,iters=20,ucb_c=0.8,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.8/compare/details.csv,,,,6,,20,10,0.8
22,baseline_mab_prefix,21,trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.3,30,"steps=10,iters=20,ucb_c=0.8,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.8/compare/details.csv,,,,0,,20,10,0.8
23,baseline_mab_prefix,1,trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.2,30,"steps=10,iters=20,ucb_c=0.2,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.2/compare/details.csv,,,,0,,20,10,0.2
24,baseline_mab_prefix,3,trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.2,30,"steps=10,iters=20,ucb_c=0.2,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.2/compare/details.csv,,,,2,,20,10,0.2
25,baseline_mab_prefix,25,trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.2,30,"steps=10,iters=20,ucb_c=0.8,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.8/compare/details.csv,,,,4,,20,10,0.8
26,baseline_mab_prefix,5,trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.09999999999997,30,"steps=10,iters=20,ucb_c=0.2,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.2/compare/details.csv,,,,4,,20,10,0.2
27,baseline_mab_prefix,24,trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,282.09999999999997,30,"steps=10,iters=20,ucb_c=0.8,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.8/compare/details.csv,,,,3,,20,10,0.8
28,baseline_mab_prefix,7,trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,282.0,30,"steps=10,iters=20,ucb_c=0.2,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.2/compare/details.csv,,,,6,,20,10,0.2
29,baseline_mab_prefix,15,trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,281.59999999999997,30,"steps=10,iters=20,ucb_c=0.4,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/compare/details.csv,,,,4,,20,10,0.4
30,baseline_mab_prefix,22,trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,281.0,30,"steps=10,iters=20,ucb_c=0.8,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.8/compare/details.csv,,,,1,,20,10,0.8
